School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Seven Hills North Public School,Werris Creek,Government,109,49,60
Seven Hills Public School,Temora,Catholic,229,117,112
Seven Hills West Public School,Westdale,Government,501,262,239
Shalvey Public School,Willow Tree,Government,59,25,34
"Shearwater, the Mullumbimby Steiner School",Marsfield,Catholic,278,142,136
Shell Cove Public School,Woolbrook,Government,16,9,7
Shelley Public School,Clovelly,Catholic,179,86,93
Shellharbour Anglican College,Woolomin,Government,32,12,20
Shellharbour Public School,Picton,Catholic,378,187,191
Sherwood Grange Public School,Yarrowitch,Government,8,4,4
Sherwood Hills Christian School,Girraween,Catholic,368,184,184
Sherwood Ridge Public School,Yetman,Government,13,6,7
Shire Christian School,Edgeworth,Catholic,257,145,112
Shoal Bay Public School,Dundas Valley,Catholic,179,87,92
Shoalhaven Heads Public School,Dundas Valley,Catholic,179,87,92
Shortland Public School,Uralla,Government,343,176,167
Singleton Heights Public School,Tamworth,Government,569,259,310
Singleton Public School,Castle Hill,Catholic,495,254,241
Smithfield Public School,Lalor Park,Catholic,216,107,109
Smithfield West Public School,Berowra Heights,Catholic,179,94,85
Smithtown Public School,Botany,Catholic,204,102,102
Snowy Mountains Christian School,Tulloona,Government,7,6,1
Snowy Mountains Grammar School,Bankstown,Catholic,368,174,194
Sofala Public School,Annandale,Catholic,176,88,88
Soldiers Point Public School,Lake Munmorah,Catholic,453,218,235
Somersby Public School,Glen Innes,Government,13,7,6
Somerton Public School,Gwynneville,Catholic,177,92,85
South Coogee Public School,Coogee,Catholic,195,94,101
South Grafton Public School,Marrickville,Catholic,331,171,160
South Wagga Public School,Raymond Terrace,Catholic,389,188,201
South West Rocks Public School,Katoomba,Catholic,132,59,73
Southern Cross Baptist Church Christian School,Singleton,Catholic,819,385,434
Southern Cross Public School,Balgowlah,Catholic,281,152,129
Southern Cross School of Distance Education,Wyong,Catholic,298,166,132
Southern Highlands Christian School,Panania,Catholic,570,259,311
Southside Montessori School,Narellan Vale,Catholic,563,296,267
Speers Point Public School,Mayfield,Catholic,140,59,81
Spring Farm Public School,Leichhardt North,Catholic,174,94,80
Spring Hill Public School,Adamstown,Catholic,228,125,103
Spring Ridge Public School,Corrimal,Catholic,391,186,205
Spring Terrace Public School,Penshurst,Catholic,434,222,212
Springdale Heights Public School,Leichhardt,Catholic,131,64,67
Springwood Public School,Glenbrook,Catholic,184,82,102
Ss Peter and Paul Catholic Primary School,Warrawong,Catholic,205,109,96
St Agatha's Catholic Primary School,Glendenning,Catholic,372,182,190
St Agnes' Catholic Primary School,Paddington,Catholic,205,117,88
St Agnes' Primary School,Arncliffe,Catholic,190,99,91
St Aidan's Catholic Primary School,Belmont,Catholic,112,50,62
St Aidan's Primary School,Bexley,Catholic,202,95,107
St Aloysius Catholic Primary School,Basin View,Government,420,205,215
St Aloysius Catholic Primary School,Carlingford,Catholic,288,139,149
St Ambrose Catholic Primary School,Smithfield,Catholic,657,328,329
St Ambrose Catholic Primary School,Uranquinty,Government,43,19,24
St Andrew's Cathedral Gawura School,Glebe,Catholic,175,88,87
St Andrew's Cathedral School,Kotara South,Catholic,366,182,184
St Andrew's Catholic Primary School,Muswellbrook,Catholic,269,130,139
St Andrew's Christian School,Lidcombe,Catholic,293,143,150
St Andrews Primary School,Engadine,Catholic,804,392,412
St Andrews Public School,Tumbi Umbi,Catholic,350,196,154
St Angela's Primary School,Narraweena,Catholic,299,147,152
St Anne's Catholic Primary School,Freshwater,Catholic,246,135,111
St Anne's Central School,Woy Woy South,Catholic,489,265,224
St Anne's Primary School,Maitland,Catholic,316,145,171
St Anthony of Padua Catholic College,Campbelltown,Catholic,525,258,267
St Anthony's Catholic Primary School,Morisset,Catholic,180,89,91
St Anthony's Catholic Primary School,Doonside,Catholic,392,220,172
St Anthony's Catholic Primary School,Auburn,Catholic,283,136,147
St Anthony's Primary School,Riverstone,Catholic,114,54,60
St Anthony's Primary School,Lambton,Catholic,183,90,93
St Augustine's College Sydney,Bulli,Catholic,396,202,194
St Augustine's Parish School,Bulli,Catholic,396,202,194
St Augustine's Primary School,Belmore,Catholic,221,109,112
St Bede's Primary School,Enfield,Catholic,521,278,243
St Benedict's Primary School,Moorebank,Catholic,410,202,208
St Bernadette's Primary School,Narrabeen,Catholic,148,71,77
St Bernadette's Primary School,Oatley,Catholic,215,111,104
St Bernadette's Primary School,Riverwood,Catholic,464,239,225
St Bernadette's Primary School,Rockdale,Catholic,205,103,102
St Bernard's Catholic Primary School,Rockdale,Catholic,205,103,102
St Bernard's Catholic Primary School,Rockdale,Catholic,205,103,102
"St Bernard's Primary School, Batemans Bay",The Rock,Government,173,90,83
St Bishoy Coptic Orthodox College,Stockinbingal,Government,25,12,13
St Brendan's Catholic Primary School,Tallimba,Government,27,15,12
St Brendan's Catholic Primary School,Tarcutta,Government,17,10,7
St Brendan's Catholic Primary School,Temora,Government,265,107,158
St Brendan's Primary School,Tharbogang,Government,41,17,24
St Brigid's Catholic Primary School,Thurgoona,Government,588,292,296
St Brigid's Catholic Primary School,Tocumwal,Government,140,79,61
St Brigid's Catholic Primary School,Tooleybuc,Government,112,51,61
St Brigid's Catholic Primary School,Tullibigeal,Government,57,35,22
St Brigid's Primary School,Tumbarumba,Government,164,87,77
St Brigid's Primary School,Tumut,Government,332,171,161
St Canice's Primary School,Ungarie,Government,99,39,60
St Carthage's Primary School,Urana,Government,8,3,5
St Catherine Labouré Catholic Primary School,Wagga Wagga,Government,442,233,209
St Catherine of Siena Catholic Primary School,Wakool,Government,9,3,6
St Catherine's Catholic College,Walla Walla,Government,22,8,14
St Catherine's School,Merewether,Catholic,388,189,199
St Cecilia's Catholic Primary School,Walla Walla,Government,35,17,18
St Cecilia's Catholic Primary School,Kilaben Bay,Catholic,210,101,109
St Charbel's College,Wallendbeen,Government,6,3,3
St Charles Catholic Primary School,Charlestown,Catholic,244,125,119
St Charles' Primary School,Leeton,Government,35,15,20
St Christopher's Catholic Primary School,East Maitland,Catholic,416,199,217
St Christopher's Catholic Primary School,East Maitland,Catholic,416,199,217
St Clair Public School,East Maitland,Catholic,416,199,217
St Clare's Catholic Primary School,East Maitland,Catholic,416,199,217
St Columba Anglican School,Weethalle,Government,20,14,6
St Columban's Primary School,Whitton,Government,25,8,17
St Columba's Catholic Primary School,Wombat,Government,18,11,7
St Columba's Catholic Primary School,Wyalong,Government,57,30,27
St Columba's Primary School,Bulahdelah,Catholic,44,24,20
St Columba's Primary School,Bulahdelah,Catholic,44,24,20
St Columbkille's Catholic Primary School,Bulahdelah,Catholic,44,24,20
St Declan's Catholic Primary School,Bulahdelah,Catholic,44,24,20
St Dominic Savio School,West Wyalong,Government,256,124,132
St Edward's Catholic Primary School,Table Top,Government,61,26,35
St Edward's Primary School,Yanco,Government,48,22,26
St Euphemia College,Yenda,Government,104,42,62
St Felix Catholic Primary School,Denman,Catholic,101,48,53
St Fiacre's Catholic Primary School,Denman,Catholic,101,48,53
St Finbarr's Primary School,Yerong Creek,Government,23,13,10
St Finbar's Primary School,Yoogali,Government,35,13,22
St Finbar's Primary School,Dungog,Catholic,94,41,53
St Francis Catholic College,Dungog,Catholic,94,41,53
St Francis de Sales Catholic Primary School,Dungog,Catholic,94,41,53
St Francis of Assisi Catholic Primary School,Dungog,Catholic,94,41,53
St Francis of Assisi Primary School,Dungog,Catholic,94,41,53
St Francis of Assisi Regional Catholic Primary School,Young,Government,542,252,290
St Francis Xavier Catholic School Ashbury,Gloucester,Catholic,33,21,12
St Francis Xavier Primary School,Gloucester,Catholic,33,21,12
St Francis Xavier Primary School,Gloucester,Catholic,33,21,12
St Francis Xavier Primary School,Young,Government,305,149,156
St Francis Xavier's Catholic Primary School,Wagga Wagga,Government,390,196,194
St Francis Xavier's Catholic Primary School,Taree,Catholic,332,148,184
St Francis Xavier's Primary School,Taree,Catholic,332,148,184
St Francis Xavier's Primary School,Taree,Catholic,332,148,184
St Francis Xavier's Primary School,Temora,Government,131,79,52
St Gabriel's Catholic School,Wingham,Catholic,116,56,60
St George Christian School,Merriwa,Catholic,53,26,27
St Georges Basin Public School,Merriwa,Catholic,53,26,27
St Gerard's Catholic Primary School,Merriwa,Catholic,53,26,27
St Gertrude's Catholic Primary School,Schofields,Catholic,410,199,211
St Gregory's College Campbelltown,Kingswood,Catholic,238,111,127
St Gregory's Primary School,Talbingo,Government,7,2,5
St Helens Park Public School,Goulburn,Catholic,315,154,161
St Hurmizd Assyrian Primary School,Dee Why,Catholic,168,83,85
St Ignatius' Parish School,Eastwood,Catholic,410,198,212
St Ives North Public School,Wagga Wagga,Government,240,112,128
St Ives Park Public School,Cardiff,Catholic,103,50,53
St Ives Public School,Manly Vale,Catholic,296,140,156
St James Catholic Primary School,Wagga Wagga,Government,401,182,219
St James' Primary School,Kenthurst,Catholic,371,165,206
St James' Primary School,Randwick North,Catholic,174,88,86
St James' Primary School,Merrylands,Catholic,580,308,272
St James' Primary School,Clare,Government,2,1,1
St Jerome's Catholic Primary School,Strathfield,Catholic,292,162,130
St Joachim's Catholic Primary School,Davidson,Catholic,81,34,47
St Joan of Arc Catholic Primary School,South Penrith,Catholic,415,202,213
St John Bosco Catholic Primary School,Georges Hall,Catholic,361,181,180
St John Fisher Catholic Primary School,Manly,Catholic,293,160,133
St John the Apostle Catholic Primary School,Noraville,Catholic,473,247,226
St John the Baptist Catholic Primary School,Scone,Catholic,210,88,122
St John the Baptist Catholic Primary School,Rydalmere,Catholic,358,173,185
St John the Baptist Primary School,Warners Bay,Catholic,406,211,195
St John The Evangelist Catholic Primary School,Young,Catholic,321,164,157
St John Vianney Catholic Primary School,Milton,Catholic,119,56,63
St John Vianney's Primary School,Hurstville,Catholic,418,193,225
St John Vianney's Primary School,West Wyalong,Catholic,117,56,61
St John's Catholic Primary School,Windsor,Catholic,220,110,110
St John's Catholic Primary School,Campsie,Catholic,321,161,160
St John's Catholic Primary School,Daceyville,Catholic,314,152,162
St John's Catholic Primary School,Meadowbank,Catholic,354,174,180
St John's Lutheran Primary School,Mittagong,Catholic,176,92,84
St John's Parish School,Nowra,Catholic,561,271,290
St John's Parish School,Thirroul,Catholic,207,103,104
St Johns Park Public School,Thirroul,Catholic,207,103,104
St John's Primary School,Belfield,Catholic,314,161,153
St John's Primary School,Stanmore,Catholic,132,71,61
St John's Primary School,Blacktown South,Catholic,712,384,328
St Joseph the Worker Catholic Primary School,Nelson Bay,Catholic,267,131,136
St Joseph's Catholic Primary School,North Parramatta,Catholic,211,125,86
St Joseph's Catholic Primary School,Richmond,Catholic,278,134,144
St Joseph's Catholic Primary School,Penrith,Catholic,206,110,96
St Joseph's Catholic Primary School,Harris Park,Catholic,165,83,82
St Joseph's Catholic Primary School,Asquith,Catholic,283,131,152
St Joseph's Catholic Primary School,East Gosford,Catholic,369,177,192
St Joseph's Catholic Primary School,Port Kembla,Catholic,180,101,79
St Joseph's Catholic Primary School,Kogarah,Catholic,407,208,199
St Joseph's Catholic Primary School,Summer Hill,Catholic,178,94,84
St Joseph's Catholic Primary School,Sutherland,Catholic,473,267,206
St Joseph's Catholic Primary School,Bega,Catholic,198,83,115
St Joseph's Catholic Primary School,Parramatta,Catholic,417,203,214
St Joseph's Catholic Primary School,Blacktown,Catholic,296,142,154
St Joseph's Catholic Primary School,Guildford,Catholic,439,218,221
St Joseph's Catholic Primary School,Cessnock,Catholic,362,180,182
St Joseph's Catholic Primary School,Wallsend,Catholic,273,131,142
St Joseph's Catholic Primary School,Swansea,Catholic,154,82,72
St Joseph's Catholic Primary School,Swansea,Catholic,154,82,72
St Joseph's Catholic Primary School Como - Oyster Bay,Lochinvar,Catholic,500,247,253
St Joseph's Parish School,Dulwich Hill,Catholic,230,121,109
St Joseph's Parish School,Winston Hills,Catholic,401,201,200
St Joseph's Parish School,Albion Park,Catholic,361,175,186
St Joseph's Parish School,Albion Park,Catholic,361,175,186
St Joseph's Parish School,Camden,Catholic,608,322,286
St Joseph's Primary School,Camden,Catholic,608,322,286
St Joseph's Primary School,Moss Vale,Catholic,152,79,73
St Joseph's Primary School,Rutherford,Catholic,391,183,208
St Joseph's Primary School,Gateshead,Catholic,285,136,149
St Joseph's Primary School,Regents Park,Catholic,378,177,201
St Joseph's Primary School,Stockton,Catholic,171,80,91
St Joseph's Primary School,Windang,Government,160,77,83
St Joseph's Primary School,Northbridge,Catholic,147,76,71
St Joseph's Primary School,Enmore,Catholic,139,72,67
St Joseph's Primary School,Unanderra,Catholic,287,134,153
St Joseph's Primary School,Windale,Catholic,58,28,30
St Joseph's Primary School,South Hurstville,Catholic,221,119,102
St Joseph's Primary School,Collaroy Plateau,Catholic,205,96,109
St Joseph's Primary School,Padstow,Catholic,212,114,98
St Joseph's Primary School,Mascot,Catholic,609,306,303
St Joseph's Primary School,New Lambton,Catholic,618,288,330
St Joseph's Primary School,Bowral,Catholic,361,167,194
St Joseph's Primary School,Springwood,Catholic,506,242,264
St Joseph's Primary School,Willoughby,Catholic,357,182,175
St Joseph's Primary School,Campbelltown,Catholic,353,189,164
St Joseph's Primary School,Stanwell Park,Government,168,100,68
St Joseph's Primary School,Shellharbour,Catholic,373,210,163
St Joseph's Primary School,Stuart Town,Government,18,9,9
St Joseph's Primary School,Batehaven,Government,304,152,152
St Joseph's Primary School,Sussex Inlet,Government,228,112,116
St Joseph's Primary School,Sutton,Government,250,123,127
St Joseph's Primary School,Warrawong,Government,287,132,155
St Joseph's Primary School,Tallong,Government,64,20,44
St Joseph's Primary School,Tanja,Government,11,0,11
St Joseph's Primary School,Tarago,Government,31,15,16
St Joseph's Primary School,Taralga,Government,27,13,14
St Joseph's Primary School,Tathra,Government,206,95,111
St Joseph's Primary School,Terara,Government,94,49,45
St Joseph's Primary School,Thirroul,Government,489,227,262
St Joseph's Primary School,Goulburn,Government,20,12,8
St Joseph's Primary School,Tomerong,Government,160,72,88
St Joseph's Primary School,Towamba,Government,21,7,14
St Joseph's Primary School,Ulladulla,Government,739,349,390
St Joseph's Primary School,Cordeaux Heights,Government,369,180,189
St Joseph's Primary School,Wee Jasper,Government,3,0,3
St Joseph's Primary School,Goulburn,Government,34,16,18
St Joseph's Primary School,Wingello,Government,17,8,9
St Joseph's Primary School,Wollongong,Government,181,93,88
St Joseph's Primary School,Wolumla,Government,89,48,41
St Joseph's Primary School,Woonona,Government,594,294,300
St Joseph's Primary School,Wyndham,Government,22,13,9
St Joseph's Primary School,Yass,Government,323,152,171
St Joseph's Primary School,Tarrawanna,Government,109,64,45
St Joseph's Primary School,Fairy Meadow,Government,159,73,86
St Joseph's Primary School,Wollongong,Government,510,244,266
St Joseph's Primary School,Bulli,Government,348,167,181
St Joseph's Primary School,Warilla,Government,248,124,124
St Joseph's Primary School,Woonona,Government,190,78,112
St Joseph's Primary School,Warilla,Government,157,75,82
St Joseph's Primary School,Goulburn,Government,332,155,177
St Joseph's Primary School,Vincentia,Government,328,169,159
St Joseph's Primary School,Tibooburra,Government,10,3,7
St Joseph's Primary School,Tullimbar,Government,356,164,192
St Joseph's Primary School,Tottenham,Government,82,39,43
St Joseph's Primary School,Trangie,Government,199,103,96
St Joseph's Primary School,Murrumburrah,Catholic,64,40,24
St Joseph's Primary School,Trundle,Government,108,37,71
St Joseph's Primary School,Trunkey Creek,Government,14,7,7
St Joseph's Primary School,Tullamore,Government,71,34,37
St Joseph's Primary School,Bedgerabong,Government,36,21,15
St Joseph's Primary School,Ulan,Government,16,11,5
St Joseph's Primary School,Hunters Hill,Catholic,401,211,190
St Joseph's Primary School,Eumungerie,Government,8,4,4
St Joseph's Primary School,Geurie,Government,32,10,22
St Joseph's Primary School,Goodooga,Government,41,20,21
St Joseph's Primary School,Walgett,Government,156,82,74
St Joseph's Primary School,Wallerawang,Government,295,149,146
St Joseph's Primary School,Wanaaring,Government,10,7,3
St Joseph's Primary School,Warren,Government,195,96,99
St Joseph's Primary School,Wattle Flat,Government,22,10,12
St Joseph's Primary School,Weilmoringle,Government,13,7,6
St Joseph's Primary School,Wellington,Government,478,228,250
St Joseph's Primary School,Wentworth,Government,109,47,62
St Joseph's Primary School,Tooraweenah,Government,13,7,6
St Joseph's Primary School,White Cliffs,Government,10,6,4
St Joseph's Primary School,Wilcannia,Government,62,34,28
St Joseph's Primary School,Wongarbon,Government,59,20,39
St Joseph's Primary School,Woodstock,Government,16,9,7
St Joseph's Primary School,Wyangala,Government,4,3,1
St Joseph's Primary School,Yeoval,Government,110,49,61
St Joseph's Primary School,Lithgow,Government,87,53,34
St Joseph's Primary School,Adelong,Catholic,43,16,27
St Joseph's Primary School,Batehaven,Catholic,335,165,170
St Joseph's Primary School,Batlow,Catholic,53,25,28
St Justin's Catholic Primary School,Bombala,Catholic,68,30,38
St Kevin's Catholic Primary School,Boorowa,Catholic,88,40,48
St Kevin's Catholic Primary School,Braidwood,Catholic,134,59,75
St Kevin's Primary School,Cooma,Catholic,233,115,118
St Kieran's Catholic Primary School,Cootamundra,Catholic,306,161,145
St Laurence's Catholic Primary School,Crookwell,Catholic,125,65,60
St Laurence's Parish School,Goulburn,Catholic,224,112,112
St Lawrence's Catholic Primary School,Grenfell,Catholic,42,18,24
St Luke's Catholic College (Primary),Gundagai,Catholic,76,38,38
St Luke's Catholic Primary School,Lake Cargelligo,Catholic,43,20,23
St Luke's Grammar School,Moruya,Catholic,248,123,125
St Madeleine's Primary School,Yass,Catholic,320,165,155
St Margaret Mary's Catholic Primary School,Menai,Catholic,774,362,412
St Margaret Mary's Primary School,Baulkham Hills,Catholic,768,360,408
St Mark's Catholic Primary School,Marayong,Catholic,637,306,331
St Mark's Coptic Orthodox College,Kemps Creek,Catholic,238,120,118
St Maroun's College,Greenacre,Catholic,254,122,132
St Martha's Catholic Primary School,Lurnea,Catholic,349,177,172
St Martin's Catholic Primary School,Bankstown,Catholic,500,254,246
St Mary - St Joseph Catholic Primary School,Fairfield,Catholic,660,325,335
St Mary and St Mina's Coptic Orthodox College,Pymble,Catholic,293,157,136
St Mary MacKillop Primary School,Sans Souci,Catholic,202,104,98
St Mary of the Angels Primary School,Liverpool,Catholic,617,314,303
St Mary's Cathedral College,Clifton Gardens,Catholic,140,78,62
St Mary's Catholic Primary School,Balmain,Catholic,354,181,173
St Mary's Catholic Primary School,Croydon,Catholic,164,88,76
St Mary's Catholic Primary School,Sefton,Catholic,373,189,184
St Mary's Catholic Primary School,Bonnyrigg Heights,Catholic,843,412,431
St Mary's Catholic Primary School,Horsley Park,Catholic,203,100,103
St Mary's Catholic Primary School,Caringbah,Catholic,608,298,310
St Mary's Catholic Primary School,Kingsgrove,Catholic,443,261,182
St Mary's Catholic Primary School,Bonnyrigg,Catholic,780,378,402
St Mary's Catholic School,Randwick,Catholic,434,233,201
St Marys North Public School,Gladesville,Catholic,140,64,76
St Mary's Parish School,Cabramatta,Catholic,571,268,303
St Mary's Parish School,Dapto,Catholic,603,284,319
St Mary's Primary School,Matraville,Catholic,167,88,79
St Mary's Primary School,Maroubra Junction,Catholic,207,107,100
St Mary's Primary School,Concord West,Catholic,417,194,223
St Mary's Primary School,Strathfield South,Catholic,106,59,47
St Mary's Primary School,Gymea,Catholic,560,262,298
St Mary's Primary School,Ryde,Catholic,515,264,251
St Mary's Primary School,West Wollongong,Catholic,377,205,172
St Mary's Primary School,Croydon Park,Catholic,343,183,160
St Mary's Primary School,Ashfield,Catholic,245,112,133
St Mary's Primary School,Auburn South,Catholic,107,51,56
St Mary's Primary School,Punchbowl,Catholic,233,124,109
St Mary's Primary School,Haberfield,Catholic,244,138,106
St Mary's Primary School,Brighton-Le-Sands,Catholic,195,97,98
St Mary's Primary School,Concord,Catholic,428,216,212
St Mary's Primary School,Denistone,Catholic,142,75,67
St Marys Public School,Drummoyne,Catholic,321,166,155
St Marys South Public School,Revesby,Catholic,591,316,275
St Mary's Star of the Sea Catholic Primary School,Maroubra,Catholic,352,178,174
St Mary's Star of the Sea Catholic Primary School,North Sydney,Catholic,438,230,208
St Mary's War Memorial School,Erskineville,Catholic,202,109,93
St Matthews Catholic School,Lane Cove,Catholic,522,248,274
St Matthew's Primary School,Lakemba,Catholic,191,95,96
St Mel's Catholic Primary School,Miller,Catholic,256,111,145
St Michael's Catholic Primary School,Sydney,Catholic,781,0,781
St Michael's Catholic Primary School,Villawood,Catholic,157,77,80
St Michael's Catholic Primary School,Waterloo,Catholic,81,36,45
St Michael's Catholic Primary School,Waverley,Catholic,321,165,156
St Michael's Catholic Primary School,Woolooware,Catholic,175,84,91
St Michael's Catholic Primary School,Yagoona,Catholic,201,98,103
St Michael's Catholic Primary School,Prestons,Catholic,614,308,306
St Michael's Catholic Primary School,Carnes Hill,Catholic,642,316,326
St Michael's Catholic Primary School,Holsworthy,Catholic,547,270,277
St Michael's Catholic Primary School,Alstonville,Catholic,168,73,95
St Michael's Catholic Primary School,Alstonville,Catholic,168,73,95
St Michael's Parish School,Ballina,Catholic,360,186,174
St Michael's Primary School,Toormina,Catholic,428,233,195
St Michael's Primary School,Bellingen,Catholic,111,44,67
St Michael's Primary School,Bowraville,Catholic,42,18,24
St Michael's Primary School,Byron Bay,Catholic,260,139,121
St Monica's Primary School,Casino,Catholic,502,242,260
St Monica's Primary School,Coffs Harbour,Catholic,719,355,364
St Nicholas of Myra Primary School,Coraki,Catholic,59,29,30
St Nicholas' Primary School,Coraki,Catholic,59,29,30
St Oliver's Primary School,Dorrigo,Catholic,66,38,28
St Patrick's Catholic Primary School,Grafton,Catholic,175,93,82
St Patrick's Catholic Primary School,Grafton,Catholic,175,93,82
St Patrick's Catholic Primary School,South Grafton,Catholic,110,53,57
St Patrick's Catholic Primary School,South Grafton,Catholic,110,53,57
St Patrick's Catholic Primary School,South Grafton,Catholic,110,53,57
St Patrick's Catholic Primary School,West Kempsey,Catholic,279,146,133
St Patrick's Catholic Primary School,West Kempsey,Catholic,279,146,133
St Patrick's Catholic Primary School,Kingscliff,Catholic,321,138,183
"St Patrick's College, Strathfield",Kyogle,Catholic,133,70,63
St Patrick's Parish School,Laurieton,Catholic,163,85,78
St Patrick's Parish School,Laurieton,Catholic,163,85,78
St Patrick's Parish School,Laurieton,Catholic,163,85,78
St Patrick's Parish School,Lismore,Catholic,583,264,319
St Patrick's Primary School,Lismore South,Catholic,214,108,106
St Patrick's Primary School,Macksville,Catholic,271,125,146
St Patrick's Primary School,Maclean,Catholic,98,38,60
St Patrick's Primary School,Maclean,Catholic,98,38,60
St Patrick's Primary School,Mullumbimby,Catholic,110,44,66
St Patrick's Primary School,Murwillumbah,Catholic,365,206,159
St Patrick's Primary School,South Murwillumbah,Catholic,144,64,80
St Patrick's Primary School,South Murwillumbah,Catholic,144,64,80
St Patrick's Primary School,Port Macquarie,Catholic,487,240,247
St Patrick's Primary School,Port Macquarie,Catholic,387,212,175
St Patrick's Primary School,Port Macquarie,Catholic,387,212,175
St Patrick's Primary School,Port Macquarie,Catholic,387,212,175
St Patrick's Primary School,Port Macquarie,Catholic,525,262,263
St Patrick's Primary School,Skennars Head,Catholic,414,178,236
St Paul of the Cross Catholic Primary School,Banora Point,Catholic,359,189,170
St Paul the Apostle Primary School,Tweed Heads,Catholic,340,161,179
St Paul's Catholic Primary School,Tweed Heads,Catholic,340,161,179
St Paul's Catholic Primary School,Wauchope,Catholic,249,131,118
St Paul's Catholic Primary School,Woodburn,Catholic,107,67,40
St Paul's Catholic Primary School,Woodburn,Catholic,107,67,40
St Paul's Catholic Primary School,Woodburn,Catholic,107,67,40
St Paul's Grammar School,Woolgoolga,Catholic,257,128,129
St Paul's Lutheran Primary School,Yamba,Catholic,140,72,68
St Paul's Primary School,Blayney,Catholic,95,43,52
St Paul's Primary School,Coonabarabran,Catholic,119,71,48
St Peter Chanel Catholic Primary School,Cowra,Catholic,430,224,206
St Peter's Anglican College - Broulee,Mudgee,Catholic,932,492,440
St Peter's Anglican Primary School,Oberon,Catholic,102,48,54
St Peter's Primary School,Wellington,Catholic,135,61,74
St Peter's Primary School,Baradine,Catholic,38,22,16
St Peter's Primary School,Bathurst,Catholic,363,195,168
St Peters Public School,Bathurst,Catholic,353,173,180
St Philip Neri Catholic Primary School,Kelso,Catholic,368,168,200
St Philip's Christian College - Cessnock,South Bathurst,Catholic,191,90,101
St Philip's Christian College - Gosford,Canowindra,Catholic,62,32,30
St Philip's Christian College - Port Stephens,Coolah,Catholic,21,10,11
St Philip's Christian College - Waratah,Coonamble,Catholic,137,67,70
St Philomena's Catholic Primary School,Dubbo,Catholic,406,214,192
St Philomena's School,Dubbo,Catholic,202,95,107
St Pius' Catholic Primary School,Dunedoo,Catholic,39,20,19
St Pius X Catholic Primary School,Eugowra,Catholic,30,19,11
St Pius X Catholic Primary School,Gilgandra,Catholic,209,113,96
St Pius X College,Gulgong,Catholic,81,35,46
St Pius X Primary School,Lithgow,Catholic,219,107,112
St Raphael's Catholic Primary School,Manildra,Catholic,15,8,7
St Raphael's Catholic School,Molong,Catholic,51,25,26
St Rose Catholic Primary School,Orange,Catholic,518,261,257
St Therese Catholic Primary School,Orange,Catholic,377,189,188
St Therese Catholic Primary School,Portland,Catholic,38,27,11
St Therese Catholic Primary School,Yeoval,Catholic,28,12,16
St Therese Catholic Primary School,Dubbo,Catholic,410,204,206
St Therese's Catholic Primary School,Dubbo,Catholic,206,104,102
St Therese's Catholic Primary School,Balranald,Catholic,62,32,30
St Therese's Community Parish School,Bourke,Catholic,90,51,39
St Therese's Primary School,Brewarrina,Catholic,36,16,20
St Thomas Aquinas Catholic Primary School,Broken Hill,Catholic,132,69,63
St Thomas Aquinas Primary School,Cobar,Catholic,175,88,87
St Thomas' Catholic Primary School,Condobolin,Catholic,103,54,49
St Thomas More Catholic Primary School,Deniliquin,Catholic,161,80,81
St Thomas More's Catholic School,Forbes,Catholic,320,168,152
St Vincent's Catholic Primary School,Hay,Catholic,59,31,28
St Xavier's Primary School,Hillston,Catholic,57,35,22
Stanford Merthyr Infants School,Narromine,Catholic,115,50,65
Stanmore Public School,Nyngan,Catholic,107,54,53
Stanwell Park Public School,Parkes,Catholic,219,116,103
Stella Maris Catholic Primary School,Peak Hill,Catholic,28,16,12
Stockinbingal Public School,Trangie,Catholic,54,30,24
Stockton Public School,Trundle,Catholic,25,10,15
Stokers Siding Public School,Warren,Catholic,146,80,66
Stratford Public School,Albury,Catholic,448,222,226
Stratheden Public School,North Albury,Catholic,359,196,163
Strathfield North Public School,Lavington,Catholic,337,182,155
Strathfield South Public School,Berrigan,Catholic,16,7,9
Stroud Public School,Coleambally,Catholic,48,25,23
Stroud Road Public School,Coolamon,Catholic,90,37,53
Stuart Town Public School,Corowa,Catholic,121,57,64
Stuarts Point Public School,Culcairn,Catholic,57,34,23
Sturt Public School,Culcairn,Catholic,57,34,23
Summer Hill Public School,Culcairn,Catholic,57,34,23
Summerland Christian College,Finley,Catholic,70,31,39
Sunshine Bay Public School,Ganmain,Catholic,41,17,24
Surveyors Creek Public School,Griffith,Catholic,425,207,218
Sussex Inlet Public School,Holbrook,Catholic,40,18,22
Sutherland North Public School,Jerilderie,Catholic,46,22,24
Sutherland Public School,Jerilderie,Catholic,46,22,24
Sutton Public School,Junee,Catholic,131,59,72
Swansea Public School,Junee,Catholic,131,59,72
Sydney Adventist School - Auburn,Leeton,Catholic,245,117,128
Sydney Distance Education Primary School,Leeton,Catholic,245,117,128
Sydney Montessori School,Lockhart,Catholic,78,44,34
Sylvania Heights Public School,Narrandera,Catholic,188,99,89
Sylvania Public School,Tocumwal,Catholic,46,27,19
Table Top Public School,Tumbarumba,Catholic,53,28,25
Tabulam Public School,Urana,Catholic,14,6,8
Tacking Point Public School,Yoogali,Catholic,139,76,63
Tacoma Public School,Ashmont,Catholic,300,149,151
Tahmoor Public School,Wagga Wagga,Catholic,390,190,200
