School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Booligal Public School,Newtown,Government,258,126,132
Boomi Public School,Black Springs,Government,9,2,7
Booragul Public School,Balmain East,Government,168,79,89
Booral Public School,Blackalls Park,Government,213,96,117
Boorowa Central School,Oatley,Government,530,267,263
Border Christian College,Blackett,Government,227,111,116
Boree Creek Public School,Leichhardt,Government,496,243,253
Borenore Public School,Blackheath,Government,337,167,170
Boronia Park Public School,Peakhurst,Government,623,304,319
Bossley Park Public School,Blacksmiths,Government,94,50,44
Botany Public School,Penshurst,Government,413,213,200
Bourke Public School,Blacktown,Government,281,126,155
Bourke Street Public School,Randwick,Government,390,180,210
Bourke-Walgett School of Distance Education,Blacktown,Government,1092,506,586
Bowen Public School,Rockdale,Government,432,209,223
Bowning Public School,Blacktown,Government,436,213,223
Bowral Public School,Rose Bay,Government,587,300,287
Bowraville Central School,Blackville,Government,10,5,5
Bradbury Public School,St Peters,Government,124,57,67
Braddock Public School,St Clair,Government,665,329,336
Bradfordville Public School,Sans Souci,Government,633,316,317
Braidwood Central School,Blairmount,Government,523,239,284
Branxton Public School,Summer Hill,Government,761,377,384
Breadalbane Public School,Blakebrook,Government,66,33,33
Bredbo Public School,Sutherland,Government,291,140,151
Brewarrina Central School,Sylvania,Government,137,57,80
Briar Road Public School,Blandford,Government,25,13,12
Bribbaree Public School,Taren Point,Government,83,37,46
Brighton-Le-Sands Public School,Granville,Government,819,427,392
Brightwaters Christian College,Ultimo,Government,314,164,150
Bringelly Public School,Blaxland East,Government,427,212,215
Brisbania Public School,Earlwood,Government,215,100,115
Broadwater Public School,Blaxland,Government,130,57,73
Brocklesby Public School,Vaucluse,Government,363,172,191
Broke Public School,Blayney,Government,308,141,167
Broken Hill North Public School,Waterfall,Government,18,10,8
Broken Hill Public School,Orange,Government,663,340,323
Bronte Public School,Bligh Park,Government,328,130,198
Brooke Avenue Public School,Oyster Bay,Government,425,198,227
Brooklyn Public School,Blighty,Government,37,18,19
Brookvale Public School,Cronulla,Government,301,135,166
Broughton Anglican College,Blue Haven,Government,584,266,318
Broulee Public School,South Coogee,Government,548,290,258
Brungle Public School,Woronora,Government,96,45,51
Brunswick Heads Public School,Bundeena,Government,193,101,92
Budgewoi Public School,Boambee,Government,429,211,218
Bulahdelah Central School,Lugarno,Government,277,135,142
Bullarah Public School,Bobin,Government,17,12,5
Bulli Public School,Oatley,Government,589,278,311
Bundanoon Public School,Bobs Farm,Government,37,19,18
Bundarra Central School,Sutherland,Government,252,124,128
Bundeena Public School,Bodalla,Government,71,37,34
Bungendore Public School,Jannali,Government,141,67,74
Bungwahl Public School,Bogan Gate,Government,5,0,5
Buninyong Public School,Ramsgate,Government,537,260,277
Bunnaloo Public School,Bogangar,Government,301,148,153
Burke Ward Public School,Haberfield,Government,227,110,117
Burnside Public School,Boggabilla,Government,63,32,31
Buronga Public School,Roselands,Government,377,181,196
Burrabadine Christian Community School,Boggabri,Government,83,39,44
Burraneer Bay Public School,Como,Government,366,186,180
Burrawang Public School,Bolwarra,Government,432,210,222
Burren Junction Public School,Botany,Government,313,154,159
Burringbar Public School,Bomaderry,Government,345,169,176
Burrumbuttock Public School,Grays Point,Government,381,185,196
Burwood Public School,Bombala,Government,136,69,67
Busby Public School,Surry Hills,Government,292,146,146
Busby West Public School,Bonalbo,Government,127,71,56
Buxton Public School,Tempe,Government,322,166,156
Byron Bay Public School,Marrickville,Government,414,204,210
Byron Community Primary School,Bondi,Government,596,294,302
Cabbage Tree Island Public School,Marrickville,Government,291,150,141
Cabramatta Public School,Adjungbilly,Government,14,4,10
Cabramatta West Public School,Waverley,Government,330,158,172
Cabramurra Public School,Bonnells Bay,Government,436,214,222
Caddies Creek Public School,Cronulla,Government,508,238,270
Calare Public School,Bonnet Bay,Government,202,97,105
Calderwood Christian School,Caringbah,Government,565,281,284
Callala Public School,Bonnyrigg Heights,Government,1118,550,568
Cambewarra Public School,Jannali,Government,359,165,194
Cambridge Gardens Public School,Bonnyrigg,Government,283,143,140
Cambridge Park Public School,Peakhurst,Government,280,124,156
Camden Public School,Bonshaw,Government,13,7,6
Camden South Public School,Sylvania,Government,649,306,343
Camdenville Public School,Boolaroo,Government,64,34,30
Cameragal Montessori School,Mortdale,Government,294,136,158
Cammeray Public School,Booligal,Government,6,3,3
Campbellfield Public School,Matraville,Government,242,128,114
Campbelltown East Public School,Boomi,Government,16,10,6
Campbelltown North Public School,Kirrawee,Government,259,129,130
Campbelltown Public School,Booragul,Government,204,103,101
Campsie Public School,Illawong,Government,197,85,112
Candelo Public School,Booral,Government,96,47,49
Caniaba Public School,Lilli Pilli,Government,380,187,193
Canley Heights Public School,Boorowa,Government,181,85,96
Canley Vale Public School,Miranda,Government,351,180,171
Canobolas Public School,Yowie Bay,Government,441,199,242
Canowindra Public School,Boree Creek,Government,29,13,16
Canterbury Public School,Erskineville,Government,401,200,201
Canterbury South Public School,Borenore,Government,40,16,24
Cape Byron Rudolf Steiner School,Loftus,Government,386,186,200
Capertee Public School,Hunters Hill,Government,541,275,266
Captains Flat Public School,Caringbah,Government,449,215,234
Caragabal Public School,Bossley Park,Government,414,209,205
Carcoar Public School,Randwick,Government,958,484,474
Cardiff North Public School,Cronulla,Government,598,292,306
Cardiff Public School,Bourke,Government,200,103,97
Cardiff South Public School,Engadine,Government,684,360,324
Cargo Public School,Surry Hills,Government,436,209,227
Carinda Public School,Engadine,Government,293,135,158
Caringbah North Public School,Bourke,Government,42,12,30
Caringbah Public School,Malabar,Government,166,86,80
Carinya Christian School Gunnedah,Orange,Government,263,126,137
Carinya Christian School Tamworth,Peakhurst,Government,309,145,164
Carlingford Public School,Bowning,Government,26,11,15
Carlingford West Public School,Lewisham,Government,217,125,92
Carlton Public School,Bowral,Government,582,282,300
Carlton South Public School,Gymea,Government,350,158,192
Carool Public School,Bowraville,Government,185,83,102
Carramar Public School,Engadine,Government,405,187,218
Carrathool Public School,Bradbury,Government,706,327,379
Carrington Public School,Kareela,Government,409,195,214
Carroll Public School,Cranebrook,Government,328,148,180
Cartwright Public School,Dulwich Hill,Government,480,275,205
Casino Christian School,Goulburn,Government,291,140,151
Casino Public School,Petersham,Government,267,117,150
Casino West Public School,Braidwood,Government,351,185,166
Cassilis Public School,Branxton,Government,377,179,198
Castle Cove Public School,Eastlakes,Government,197,96,101
Castle Hill Public School,Breadalbane,Government,10,5,5
Castlereagh Public School,Bredbo,Government,13,4,9
Casuarina Steiner School,Marrickville,Government,607,294,313
Casula Public School,Brewarrina,Government,141,61,80
Cathedral Catholic Primary School,Woolloomooloo,Government,60,28,32
Catherine McAuley Catholic Primary School,Campbelltown,Government,235,113,122
Cattai Public School,Menai,Government,376,168,208
Caves Beach Public School,Bribbaree,Government,10,4,6
Cawdor Public School,Surry Hills,Government,177,80,97
Cecil Hills Public School,Canterbury,Government,287,147,140
Cedars Christian College,Bringelly,Government,108,47,61
Centaur Public School,Marrickville,Government,446,208,238
Central Coast Adventist School,Saratoga,Government,445,226,219
Central Coast Grammar School,Heathcote,Government,132,57,75
Central Coast Sports College,Broadwater,Government,51,24,27
Central Coast Steiner School,Brocklesby,Government,10,6,4
Central Mangrove Public School,Broke,Government,62,29,33
Central Tilba Public School,Broken Hill,Government,251,109,142
Central West Leadership Academy,Broken Hill,Government,155,83,72
Cessnock East Public School,Killarney Vale,Government,444,215,229
Cessnock Public School,Brooklyn,Government,75,35,40
Cessnock West Public School,Brookvale,Government,341,176,165
Chandler Public School,Broulee,Government,369,166,203
Charlestown East Public School,Brungle,Government,13,8,5
Charlestown Public School,Brunswick Heads,Government,231,118,113
Charlestown South Public School,Budgewoi,Government,539,241,298
Charlton Christian College,Bulahdelah,Government,424,205,219
Chatham Public School,Bullarah,Government,8,3,5
Chatswood Public School,Bulli,Government,227,102,125
Chatsworth Island Public School,Croydon,Government,669,346,323
Cherrybrook Public School,Bundanoon,Government,150,65,85
Chertsey Primary School,Croydon Park,Government,450,230,220
Chester Hill North Public School,Bundarra,Government,99,52,47
Chester Hill Public School,Daceyville,Government,269,140,129
Chifley Public School,Potts Point,Government,322,167,155
Chillingham Public School,Bungendore,Government,507,254,253
Chipping Norton Public School,Rosebery,Government,358,184,174
Chisholm Catholic Primary School,Bungwahl,Government,36,21,15
Chittaway Bay Public School,Glebe,Government,309,150,159
Christ the King Catholic School Bass Hill,Dubbo,Government,384,177,207
Christ The King Primary School,Leichhardt,Government,736,371,365
Christadelphian Heritage College Sydney,Bunnaloo,Government,41,26,15
Christian Brothers High School Lewisham,Maroubra,Government,619,295,324
Chrysalis School for Rudolf Steiner Education,Broken Hill,Government,263,141,122
Chullora Public School,Newtown,Government,417,205,212
Clairgate Public School,North Parramatta,Government,250,118,132
Clare Public School,Paddington,Government,291,146,145
Claremont College,Buronga,Government,107,57,50
Claremont Meadows Public School,Rozelle,Government,632,307,325
Clarence Town Public School,Stanmore,Government,636,313,323
Clarence Valley Anglican School,Burrawang,Government,35,21,14
Claymore Public School,Woollahra,Government,767,363,404
Clemton Park Public School,Burren Junction,Government,39,25,14
Clergate Public School,Burringbar,Government,55,23,32
Clovelly Public School,Burrumbuttock,Government,30,10,20
Clunes Public School,Burwood,Government,573,312,261
Coal Point Public School,Busby,Government,267,123,144
Coast Christian School,Green Valley,Government,355,157,198
Cobar Public School,Buxton,Government,173,91,82
Cobargo Public School,Byron Bay,Government,651,291,360
Cobbitty Public School,Cabbage Tree Island,Government,29,14,15
Coffee Camp Public School,Cabramatta,Government,685,333,352
Coffs Harbour Bible Church School,Cabramatta,Government,537,256,281
Coffs Harbour Christian Community School,Glenwood,Government,1066,520,546
Coffs Harbour Public School,Orange,Government,615,308,307
Coleambally Central School,Callala Bay,Government,190,85,105
Coledale Public School,Cambewarra,Government,266,145,121
Collarenebri Central School,Cambridge Park,Government,477,220,257
Collaroy Plateau Public School,Cambridge Park,Government,556,255,301
Collector Public School,Barden Ridge,Government,742,329,413
Collins Creek Public School,Camden,Government,304,148,156
Colo Heights Public School,Camden,Government,756,366,390
Colo Vale Public School,Cammeray,Government,888,454,434
Colyton Public School,Minto,Government,304,151,153
Comboyne Public School,Campbelltown,Government,346,162,184
Comleroy Road Public School,Campbelltown,Government,378,183,195
Como Public School,Campbelltown,Government,351,166,185
Como West Public School,Campsie,Government,700,340,360
Conargo Public School,Candelo,Government,69,39,30
Concord Public School,Lismore,Government,47,21,26
Concord West Public School,Canley Heights,Government,513,241,272
Condell Park Christian School,Canley Vale,Government,888,424,464
