Suburb,Year,Average
Rossmore,2011,94.5
Rouse Hill,2011,94.83333333
Rozelle,2011,93.5
Ruse,2011,95
Rutherford,2011,90.8
Rydalmere,2011,95.3
Ryde,2011,93.975
Salamander Bay,2011,93.6
Salt Ash,2011,90.1
San Remo,2011,96
Sandy Beach,2011,94.9
Sans Souci,2011,93.3
Sawtell,2011,92.6
Schofields,2011,93.9
Seaforth,2011,93.5
Seaham,2011,94.1
Seven Hills,2011,92.76666667
Shell Cove,2011,95.6
Shellharbour,2011,93.7
Shellharbour City,2011,94.3
Shelly Beach,2011,96.7
Shoal Bay,2011,95.2
Shoalhaven Heads,2011,92.6
Singleton,2011,92.36666667
Smithfield,2011,92.4
Smithtown,2011,95
South Coogee,2011,94.2
South Grafton,2011,93
South Gundagai,2011,92.7
South Hurstville,2011,89.6
South Lismore,2011,94.1
South Penrith,2011,93.6
South Tamworth,2011,95.4
South West Rocks,2011,94
South Windsor,2011,94.1
Speers Point,2011,91.8
Spring Farm,2011,92.2
Springfield,2011,94.1
Springwood,2011,94.7
St Andrews,2011,95.9
St Clair,2011,93.04
St Helens Park,2011,90.6
St Ives,2011,93.2
St Johns Park,2011,95.9
St Marys,2011,91.9
St Peters,2011,93.7
Stanhope Gardens,2011,95.1
Stanmore,2011,93.5
Stockton,2011,94.9
Strathfield,2011,93.43333333
Stroud,2011,95.4
Stuarts Point,2011,95.8
Summer Hill,2011,93.4
Surfside,2011,95.3
Surry Hills,2011,92.55
Sutherland,2011,91.6
Swansea,2011,90.6
Sydney,2011,93.2
Sylvania,2011,85.7
Tacoma,2011,96.5
Tahmoor,2011,95.05
Tamworth,2011,89.625
Taree,2011,94.075
Tarro,2011,96.3
Telegraph Point,2011,95.8
Temora,2011,93.6
Tempe,2011,93.2
Tenambit,2011,96.3
Tenterfield,2011,94.15
Terranora,2011,94.65
Terrey Hills,2011,95
Terrigal,2011,96.2
The Entrance,2011,94.4
The Ponds,2011,92.5
Thirlmere,2011,95.2
Thirroul,2011,96.5
Thornleigh,2011,92.1
Thornton,2011,95.9
Thurgoona,2011,96
Tighes Hill,2011,95.2
Timbumburi,2011,93.7
Tinonee,2011,93.8
Tintenbar,2011,95.6
Toongabbie,2011,93.23333333
Toormina,2011,95.7
Toronto,2011,94.2
Townsend,2011,94
Tregear,2011,88.1
Tuggerah,2011,91.6
Tumbarumba,2011,93.3
Tumbi Umbi,2011,93.8
Tuncurry,2011,94.9
Turramurra,2011,90.8
Tweed Heads South,2011,92.1
Uki,2011,94
Ultimo,2011,94.5
Unanderra,2011,90.7
Upper Main Arm,2011,94.5
Uralla,2011,92
Urunga,2011,95.5
Vacy,2011,94.5
Valentine,2011,93.2
Vaucluse,2011,93.4
Villawood,2011,93.9
Wadeville,2011,91.9
Wagga Wagga,2011,91.95
Wahroonga,2011,92.24
Waitara,2011,93.7
Wallacia,2011,88
Wallsend,2011,94.85
Wangi Wangi,2011,94.8
Waratah,2011,96.6
Warialda,2011,93.46666667
Warners Bay,2011,94.45
Warnervale,2011,94.75
Warrimoo,2011,95.8
Warwick Farm,2011,93
Wattle Grove,2011,94.7
Wauchope,2011,94.46666667
Wee Waa,2011,92.8
Wentworth Falls,2011,95.75
Wentworthville,2011,93.725
Werrington,2011,93.9
Werris Creek,2011,94.2
West Gosford,2011,95.6
West Kempsey,2011,95.7
West Pymble,2011,95.1
West Tamworth,2011,93.25
West Wallsend,2011,94.5
Westdale,2011,94.2
Westmead,2011,93.3
Weston,2011,97.4
Wetherill Park,2011,96
Whalan,2011,92.45
Wilberforce,2011,96
Wiley Park,2011,92.8
Willmot,2011,96.8
Willoughby,2011,96.8
Wilton,2011,94
Windale,2011,95.4
Wingham,2011,94.5
Winmalee,2011,95.1
Winston Hills,2011,93.05
Wollongbar,2011,91.9
Wollongong,2011,93.3
Wollongong West,2011,95
Woodberry,2011,93.8
Woodburn,2011,93.1
Woodenbong,2011,95.3
Woolgoolga,2011,94.5
Wooli,2011,94.5
Woollahra,2011,93.93333333
Woronora,2011,93.2
Woy Woy,2011,95.2
Wyee,2011,95.3
Wyoming,2011,95.16666667
Wyong,2011,94.4
Wyong Creek,2011,95.1
Yagoona,2011,93.7
Yamba,2011,89.6
Yass,2011,94.8
Yennora,2011,94.5
Young,2011,92.2
Yowie Bay,2011,94.3
Abbotsford,2012,95.9
Aberdeen,2012,93
Abermain,2012,95.4
Adamstown,2012,95.7
Albion Park,2012,92.1
Albury,2012,94.36666667
Allambie Heights,2012,92.4
Alstonville,2012,95.05
Ambarvale,2012,93.5
Annandale,2012,96.95
Annangrove,2012,93.2
Appin,2012,94.2
Arcadia,2012,94.25
Ariah Park,2012,92.6
Armidale,2012,94.12857143
Arncliffe,2012,95.13333333
Ashbury,2012,95.6
